Batch_ID,Temperature_C_mean,Temperature_C_max,Pressure_Bar_mean,Pressure_Bar_max,Humidity_Percent_mean,Motor_Speed_RPM_mean,Compression_Force_kN_mean,Compression_Force_kN_max,Flow_Rate_LPM_mean,Power_Consumption_kW_mean,Power_Consumption_kW_max,Vibration_mm_s_mean,Granulation_Time,Binder_Amount,Drying_Temp,Drying_Time,Compression_Force,Machine_Speed,Lubricant_Conc,Moisture_Content,Tablet_Weight,Hardness,Friability,Disintegration_Time,Dissolution_Rate,Content_Uniformity,temperature_stability,pressure_stability,energy_efficiency,production_efficiency,quality_score
T051,34.18966285692157,74.87711500690064,0.9854395053184414,1.381163362525819,37.15251024499692,105.8616800085684,5.49936345456184,19.86440605640797,1.2345129878367764,23.33127049753452,53.71976155421692,3.080090049716414,9,5.8,73,15,18.0,92,0.4,3.6,204.7,135,0.29,17.5,81.2,106.3,40.687452149979066,0.3957238572073777,2.592363388614946,13.646666666666668,96.901
T020,33.83756998771753,75.15721924881022,0.986285630652642,1.375635737562698,35.96606490806778,126.19178114790644,6.5611708530093615,19.79069833265416,1.1453451126428649,26.25042577787013,58.4826822610236,3.5255220740966338,9,6.0,72,16,17.5,95,0.4,3.5,204.2,132,0.32,16.2,82.3,105.8,41.31964926109269,0.389350106910056,2.9167139753189035,12.7625,96.133
T031,33.53995458509597,74.54181551785729,0.9838718618612547,1.341589183214925,37.58375430934776,99.90776779965526,5.059927118847621,19.21368992010866,1.1748946145971635,22.54540689514896,55.70229079030712,2.9293445545113936,10,6.3,71,17,17.2,105,0.5,3.3,203.9,128,0.35,15.1,83.8,104.9,41.00186093276132,0.3577173213536702,2.2545406895148963,11.994117647058824,95.075
T005,33.91822794323227,74.7121422408095,0.969525046339903,1.325708843881666,36.420932972690174,99.42731880377038,5.604898808460925,18.03662896504751,1.2198776066152592,24.982074172152075,58.3618202123696,3.0903121695931133,10,6.5,70,18,16.2,100,0.6,3.2,202.7,125,0.38,14.8,85.1,103.5,40.79391429757723,0.356183797541763,2.498207417215208,11.261111111111113,94.197
T042,34.2335335584012,74.01674693968289,0.9853239589855942,1.43071587737042,37.50243014584984,123.3474079708447,4.550846179547651,19.14914365084161,1.2570193753084282,22.903503594770143,61.79867854614741,3.057948489451969,11,6.6,70,18,16.8,108,0.5,3.1,203.1,124,0.37,14.3,84.5,104.1,39.78321338128169,0.4453919183848258,2.0821366904336496,11.283333333333331,93.75799999999998
T026,34.70365217016981,70.34198171636507,0.975735622797846,1.299150812935289,36.99543215575526,112.87818774295523,4.923874236156103,17.91252808454258,1.3632736151142222,23.46652075698197,56.93965753556333,3.11220630652378,11,6.9,69,20,16.0,115,0.6,2.9,202.8,121,0.39,12.8,85.9,103.7,35.63832954619526,0.3234151901374429,2.133320068816543,10.14,93.116
T057,33.8344923818842,70.01294294210095,0.9865579491626169,1.421002116255804,37.43012806197803,115.21006837866088,4.218720803867201,18.24525162898234,1.2890018777065777,21.984456731269702,57.67255067963557,2.883505089776224,11,6.7,68,19,16.5,112,0.5,3.0,203.6,119,0.41,13.9,85.3,103.8,36.178450560216746,0.4344441670931871,1.998586975569973,10.715789473684213,92.224
T011,34.88558534465347,72.42581831742481,0.9850768678961,1.292040654954956,37.00054153774005,116.29340616222298,4.108700979295757,17.95800694491503,1.4467994409247562,22.531433078157225,55.97604081211801,2.941847276874097,11,6.8,68,19,15.8,110,0.5,3.0,203.5,118,0.42,13.2,84.7,104.2,37.54023297277134,0.3069637870588558,2.0483120980142933,10.710526315789474,91.743
T037,34.27618749727164,68.98330414839825,0.9769509680524592,1.405526531086346,36.674939530002845,125.30676225180213,4.988645232150405,17.39368978870213,1.270647608543206,24.55058485145725,59.98694946677515,3.2898870109799154,12,7.1,67,19,15.5,120,0.6,2.8,202.4,116,0.44,13.6,86.1,102.3,34.707116651126604,0.4285755630338869,2.0458820709547707,10.65263157894737,91.151
T046,35.63173551277779,69.4084921958603,0.98496863398825,1.302309355649333,37.70656869999463,138.068105229223,4.2722757587596885,16.8909479110805,1.480039619612182,23.41966217612178,60.15936922822981,3.205704284535755,12,7.3,66,20,15.2,122,0.6,2.7,201.8,114,0.46,12.4,86.8,101.7,33.77675668308252,0.317340721661083,1.951638514676815,10.09,90.574
T053,34.16257050787856,68.0669913390501,0.9749606465977192,1.367630535281389,36.25215646657649,116.3847239649624,5.232478404035425,16.3055609213805,1.3175928966628674,25.75921240653261,56.569204503935,3.375013467815616,13,7.4,65,21,14.7,132,0.7,2.6,202.2,113,0.47,11.8,86.9,102.4,33.90442083117154,0.3926698886836697,1.9814778774255852,9.628571428571428,90.398
T015,34.676663840651806,68.56405527146767,0.9639574417647117,1.401961040441142,38.49583030263823,123.10792937722596,3.1699364661992333,16.32471584735008,1.4096585625318958,20.850117808048616,57.47330866988472,2.7714126906602137,12,7.2,66,21,14.8,125,0.8,2.7,202.1,112,0.48,11.5,87.2,101.9,33.88739143081586,0.4380035986764303,1.7375098173373846,9.623809523809523,90.05199999999999
